Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2000_gdp,2001_gdp,2002_gdp,2003_gdp,2004_gdp,2005_gdp,2006_gdp,2007_gdp,2008_gdp,2009_gdp,2010_gdp,2011_gdp,2012_gdp,2013_gdp,2014_gdp,2015_gdp,2016_gdp,2017_gdp,2018_gdp,2019_gdp
Colombia,110795.20,109488.75,109966.45,113929.09,117271.11,122238.97,130651.10,131880.49,130025.62,137137.33,138247.79,133918.32,139838.47,147802.85,150614.76,..,..,..,..,..,99.89,98.21,97.96,94.64,117.08,145.62,161.62,206.18,242.19,232.40,286.56,334.94,370.92,382.12,381.11,293.48,282.83,311.88,334.20,323.43
Costa Rica,9945.75,10292.00,10518.51,10892.97,10924.16,11196.01,11817.56,12678.70,12709.38,12534.57,12895.96,13284.87,13405.56,13735.74,13850.14,13603.64,14234.46,14477.60,..,..,15.01,15.98,16.58,17.27,18.61,20.04,22.72,26.88,30.80,30.75,37.66,42.76,47.23,50.95,52.02,56.44,58.85,60.52,62.42,64.07
Croatia,25563.46,26739.44,27793.26,29224.14,29263.64,29730.72,30081.35,31485.74,30506.12,28151.12,27752.97,27429.60,25612.64,24330.60,23475.54,23911.92,23999.92,24737.56,23536.28,23605.02,21.84,23.27,27.07,34.99,41.96,45.78,50.86,60.54,70.75,63.08,60.43,63.17,57.19,58.89,58.33,50.16,52.30,56.21,62.25,62.25
Cyprus,8308.59,8257.05,8485.66,8878.86,9078.74,9205.21,9460.79,9789.58,10006.34,9772.66,9444.39,9150.41,8617.65,7918.78,8294.18,8336.77,8783.93,8969.69,8811.43,8841.53,9.99,10.40,11.42,14.55,17.32,18.43,20.07,23.97,27.84,25.95,25.73,27.57,24.98,23.90,23.16,19.84,20.95,22.87,25.52,25.76
Czech Republic,149272.31,149299.90,145657.98,148734.47,149763.24,147727.54,148953.58,150776.59,145889.00,136853.38,139605.90,138068.89,134138.67,128691.89,126563.24,127972.21,129584.95,130460.08,128554.62,122638.51,61.83,67.81,82.20,100.09,119.81,137.14,156.26,190.18,236.82,207.43,209.07,229.56,208.86,211.69,209.36,188.03,196.27,218.63,248.95,252.50
Denmark,71748.15,73469.76,72887.12,77956.07,71987.69,67601.07,75303.40,70731.52,67137.44,64331.30,64664.11,59429.58,54837.68,56560.81,52332.15,49737.65,51764.36,49648.88,49621.30,45812.18,164.16,164.79,178.64,218.10,251.37,264.47,282.88,319.42,353.36,321.24,322.00,344.00,327.15,343.58,352.99,302.67,313.12,332.12,356.84,347.56
Estonia,17495.87,17933.88,17342.07,19284.11,19482.32,19257.08,18598.88,22206.85,20083.66,16661.56,21218.19,21286.17,20114.88,22019.84,21176.38,18139.32,19808.93,21066.44,20206.36,14699.12,5.69,6.25,7.37,9.87,12.15,14.11,17.02,22.45,24.34,19.63,19.52,23.18,23.02,25.11,26.60,22.88,24.06,26.86,30.47,31.05
Finland,70162.59,75489.95,77917.81,85538.07,81850.13,69851.38,81228.18,79574.36,71465.37,67828.41,75621.63,67876.63,62402.31,62797.27,58659.76,55087.28,58007.00,55230.18,56281.82,53021.25,125.71,129.42,139.74,171.27,197.12,204.81,216.91,256.05,284.55,252.50,249.18,275.24,258.30,271.29,274.50,234.44,240.61,255.02,275.58,268.51
France,552419.16,557716.37,551773.94,556025.60,554919.88,555961.77,545436.42,535685.05,528370.73,506423.66,513461.78,488902.16,490286.17,491502.99,461188.53,464205.67,467060.00,470564.32,452034.46,442984.67,1360.00,1380.00,1490.00,1840.00,2120.00,2200.00,2320.00,2660.00,2920.00,2690.00,2640.00,2860.00,2680.00,2810.00,2850.00,2440.00,2470.00,2590.00,2790.00,2730.00
Germany,1042612.09,1058745.06,1037234.57,1034137.58,1017525.75,992529.52,999354.67,973768.63,974780.35,908688.45,941805.34,917273.60,923342.03,940419.54,901255.14,904261.81,907967.91,892075.67,855890.41,809798.54,1940.00,1940.00,2070.00,2500.00,2810.00,2850.00,2990.00,3420.00,3730.00,3400.00,3400.00,3740.00,3530.00,3730.00,3880.00,3360.00,3470.00,3680.00,3980.00,3890.00
Greece,126470.88,127524.66,127540.10,131279.63,131960.69,136423.69,132517.99,135149.01,131825.16,124619.09,118500.04,115571.73,112305.52,102684.38,99257.81,95463.98,91821.84,95600.99,92308.35,85630.94,130.13,136.19,153.83,201.92,240.52,247.78,273.32,318.50,354.46,330.00,296.84,282.63,242.04,238.84,235.14,195.60,193.02,199.35,211.95,205.14
